gCategory,gName,gAddress,gNumber
헬스,부평여고 후문 쉼터 체력단련시설,인천광역시 부평구 부평동 878-2,032-000-0000
헬스,부평1동 쉼터 체력단련시설,인천광역시 부평구 부평동 255-16,032-000-0001
농구,희망체육공원,인천광역시 부평구 부평동 768-320,032-000-0002
헬스,부평2동 쉼터 체력단련시설(금낭화쉼터),인천광역시 부평구 부평동 756-368,032-000-0003
등산,희망공원 등산로 체력단련시설,인천광역시 부평구 부평동 산34-16,032-000-0004
등산,인천가족공원 등산로 체력단련시설,인천광역시 부평구 부평동 산54-4,032-000-0005
등산,용포약수터 체력단련시설,인천광역시 부평구 십정동 산2-2,032-000-0006
등산,동암산 등산로 체력단련시설,인천광역시 부평구 십정동 산40-2,032-000-0007
조깅,신트리공원,인천광역시 부평구 부평동 880 외,032-000-0008
헬스,부평5동 쉼터 체력단련시설,인천광역시 부평구 부평동 148-1,032-000-0009
헬스,원적산체육공원,인천광역시 부평구 산곡동 179-140,032-000-0010
헬스,선포약수터 체력단련시설,인천광역시 부평구 산곡동 산43,032-000-0011
축구,부영공원 운동장,인천광역시 부평구 산곡동 산20 일원,032-000-0012
헬스,장수산 비타민길 체력단련시설,인천광역시 부평구 청천동 산4-6                                                                                                    ,032-000-0013
헬스,원적산공원,인천광역시 부평구 청천동 산27-2,032-000-0014
헬스,청천2동 쉼터 체력단련시설,"인천광역시 부평구 청천동 9-58, 59",032-000-0015
농구,부평구다목적실내체육관,인천광역시 부평구 갈산동 부평대로296번길 33,032-000-0016
헬스,부평국민체육센터,인천광역시 부평구 갈산동 부평대로296번길 37,032-000-0017
자전거,굴포천자전거도로체력단련시설,인천광역시 부평구 갈산동 361-5,032-000-0018
골프,삼산게이트볼장,인천광역시 부평구 삼산동 후정동로 9,032-000-0020
조깅,건강공원,인천광역시 부평구 삼산동 518,032-000-0021
헬스,삼산유수지 체육공원,인천광역시 부평구 삼산동 450-1,032-000-0022
헬스,인천삼산월드체육관,인천광역시 부평구 체육관로 60,032-000-0023
골프,일신게이트볼장,인천광역시 부평구 일신동 74,032-000-0024
헬스,부평도시숲 체련단련시설,인천광역시 부평구 일신동 21-5,032-000-0025
배드민턴,일신배드민턴장,인천광역시 부평구 일신동 79-32,032-000-0026
헬스,백운공원,인천광역시 부평구 십정동 186-419 일원,032-000-0027
수영,열우물경기장,인천광역시 부평구 열우물로 164,032-000-0028
헬스,십정체육공원,인천광역시 부평구 십정동 101-2번지 일원,032-000-0029
수영장,동남스포피아 수영장,"인천광역시 연수구 새말로 27, 동남아파트 (연수동)",032-814-7000
수영장,멤버쉽풀,인천광역시 연수구 동곡재로 16 (동춘동),032-814-3322
수영장,블루라군,"인천광역시 연수구 용담로 11, 지1층 (청학동, 시대아파트)",1644-7926
수영장,미라클 스포츠(주),"인천광역시 연수구 선학로 101, 상가동 지하1,2층 (선학동, 뉴서울1차아파트)",032-834-2244
수영장,주식회사 블루라군수영장,"인천광역시 연수구 갯벌로 12 (송도동, 미추홀타워 본관)",032-819-0022
수영장,IGC글로벌캠퍼스 수영장,"인천광역시 연수구 송도문화로 119 (송도동, 인천글로벌캠퍼스)",032-715-7795
수영장,주식회사 블루라군,"인천광역시 연수구 센트럴로 123, 송도컨벤시아 13~17호 (송도동)",032-710-3311
수영장,키즈웨일 아카데미(주),"인천광역시 연수구 센트럴로 232, 301,302,303호 (송도동, 더샵센트럴파크1)",032-710-3666
수영장,(주)박태환수영장,"인천광역시 연수구 하모니로138번길 11, 송도캐슬센트럴파크 지하1층 (송도동)",032-710-2015
태권도,K용인대 태권도,"인천광역시 연수구 컨벤시아대로42번길 25, 502호 (송도동, 플러스에비뉴)",032-834-3336
태권도,MTA태권도장,"인천광역시 연수구 송도문화로28번길 28, 상가205동 201.202호 (송도동)",032-816-1155
크로스핏,크로스핏 스트라이크,"인천광역시 연수구 해돋이로 118, B01호 (송도동, 마린프라자)",032-831-2546
태권도,송도 경희대 태권도,"인천광역시 연수구 컨벤시아대로130번길 80, 송도푸르지오하버뷰 상가동 205.206호 (송도동)",032-833-7771
유도,아인스 유도관,"인천광역시 연수구 신송로 166, 502호 (송도동, 플러스원프라자)",032-851-4500
태권도,경희대i스타태권도장,"인천광역시 연수구 송도과학로27번길 55, 301동 301,302호 (송도동, 롯데캐슬캠퍼스타운)",032-812-0023
태권도,하랑태권도장,"인천광역시 연수구 선학로68번길 7-8, 3층 (선학동)",032-822-5386
태권도,경희대TOP태권도장,"인천광역시 연수구 송도문화로84번길 84, 상가1동 202~205호 (송도동, 베르디움더퍼스트)",032-832-6565
태권도,경희대석사아이스타태권도장,"인천광역시 연수구 컨벤시아대로274번길 35, 2층 9~11호 (송도동, 송도 더샵 마스터뷰 22BL)",032-833-1322
복싱,King Boxing Gym,"인천광역시 연수구 독배로40번길 18, 301호 (옥련동, 삼성아파트 상가동)",032-111-1111
태권도,송도국제 경희대 태권도장,"인천광역시 연수구 신송로 165-14, 401,402호 (송도동, 더파라곤)",032-859-7400
태권도,하늘태권도장,"인천광역시 연수구 인천타워대로54번길 13, 202호 (송도동, 해승메디피아)",032-859-1017
복싱,용인대석사복싱,"인천광역시 연수구 해돋이로 110, 은진프라자 5층 501호 (송도동)",032-833-2151
태권도,드림로드 태권도장,"인천광역시 연수구 용담로 153, 208호 (연수동, 대동월드스포츠센터)",032-222-2222
태권도,송도 파워점핑 줄넘기&태권도,"인천광역시 연수구 컨벤시아대로130번길 32, 201~203호 (송도동, 송도자이하버뷰2단지아파트)",032-832-4455
태권도,퍼스트 아이 태권도장,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 301호 (송도동)",032-832-0432
태권도,용인대 국가대표 태권도스쿨,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 312호 (송도동)",032-833-3236
태권도,TK태권도장,"인천광역시 연수구 송도과학로27번길 55, 301동 A-313호 (송도동, 롯데캐슬 캠퍼스타운)",032-821-0125
태권도,용인대 국가대표 태권도스쿨,"인천광역시 연수구 송도문화로28번길 28, 203동 211,212호 (송도동, 송도글로벌캠퍼스푸르지오)",032-333-3333
태권도,글로벌 리더 체육관,"인천광역시 연수구 해돋이로 168-15, 글로벌시티프라자 303호 (송도동)",032-832-7006
골프,골프존파크 송도트리플스트리트점,"인천광역시 연수구 송도과학로16번길 33-2, 송도 트리플스트리트 B동 201,301호 (송도동)",032-812-1872
골프,꽁지 골프 아카데미,"인천광역시 연수구 테크노파크로111번길 5, 스타빌딩 801호 (송도동)",032-444-4444
골프,골프존파크 옥련JJ점,"인천광역시 연수구 독배로 68, 6층 (옥련동)",032-831-9998
골프,갤러리 골프 송도점,"인천광역시 연수구 신송로 153, 더 마란츠타워 지상2층 204,205호 (송도동)",032-555-5555
골프,더 밸리,"인천광역시 연수구 송도미래로 47, 2층 일부호 (송도동)",032-812-0753
골프,송도스크린골프,"인천광역시 연수구 테크노파크로111번길 9, 케이피타워 4,5층 (송도동)",032-831-8350
골프,갤러리스크린골프존,"인천광역시 연수구 송도미래로 9, 비알씨(주) 연구소 3동 2층 208,209,210호 (송도동)",032-817-1872
골프,헬로골프,"인천광역시 연수구 청능대로 93, 이리옴프라자 6층 601호 (청학동)",032-666-6666
헬스,라마다 송도호텔 헬스센터,인천광역시 연수구 능허대로267번길 29 (동춘동),032-830-2232
헬스,플랜 피트니스,인천광역시 연수구 독배로40번길 43 (옥련동),032-832-2442
헬스,헬로우짐 연수점,"인천광역시 연수구 청능대로 93, 이리옴프라자 7층 701호 (청학동)",032-822-3396
헬스,DDS 휘트니스,"인천광역시 연수구 앵고개로254번길 19-6, 4층 (동춘동)",032-818-0096
헬스,유니온 휘트니스,"인천광역시 연수구 독배로 29 (옥련동,6층)",032-832-0098
헬스,휘트니스블루,인천광역시 연수구 앵고개로 266 한양아파트,032-819-7139
헬스,헬스클럽 피플,"인천광역시 연수구 학나래로6번길 6 (선학동, 서천빌딩)",032-817-7900
헬스,커브스 동춘클럽,"인천광역시 연수구 앵고개로 260  (동춘동,맘모스빌딩 6층 610,611호)",032-818-7330
헬스,1st WELLNESS CENTER,"인천광역시 연수구 해돋이로 107, G동 상가129호 (송도동)",032-835-7000
헬스,커브스 송도클럽,"인천광역시 연수구 컨벤시아대로 69, 305호 (송도동, 밀레니엄빌딩)",032-858-3050
헬스,엑시드 휘트니스,"인천광역시 연수구 한나루로201번길 19 (옥련동, 이스파빌딩)",032-833-3373
헬스,더 플라워 휘트니스,"인천광역시 연수구 비류대로433번길 11, 3층 (연수동, 연수길프라자)",032-812-0999
헬스,스카이휘트니스,인천광역시 연수구 먼우금로63번길 13 (동춘동),032-811-1144
헬스,바디첵,"인천광역시 연수구 용담로 111, 502,503호 (연수동)",070-8864-8311
헬스,(주)리조트휘트니스 송도점,"인천광역시 연수구 컨벤시아대로 81, 드림시티 702,703호 (송도동)",032-833-9030
헬스,팀케이짐,"인천광역시 연수구 샘말로7번길 13, 2층 (연수동)",032-818-0285
헬스,(주)터닝포인트짐 연수점,"인천광역시 연수구 먼우금로 197, 7층 (청학동)",032-1644-6561
헬스,W(더블유) 짐,"인천광역시 연수구 한나루로 104, 국제타운동 2층 201호 (옥련동)",032-832-6712
헬스,YC바디핏,"인천광역시 연수구 독배로 56, 2,4층 (옥련동, 시계탑빌딩)",032-777-7777
헬스,아인스 멀티짐,"인천광역시 연수구 신송로 166, 501호 (송도동, 플러스원프라자)",032-851-4500
헬스,아셀짐(ASHER GYM),"인천광역시 연수구 앵고개로 256, 2층 (동춘동, 웅지프라자)",032-888-8888
당구,CUE STAR 당구클럽,"인천광역시 연수구 테크노파크로111번길 12, 6층 (송도동, 반도타워)",032-831-9879
당구,송도 가브리엘 대대클럽,"인천광역시 연수구 하모니로36번길 17, 4층 (송도동, 은하프라자)",032-999-9999
당구,옥련 가브리엘 클럽,"인천광역시 연수구 한나루로86번길 4, 101호 (옥련동, 세정빌딩)",032-833-8375
당구,스타당구클럽,"인천광역시 연수구 학나래로6번길 6, 5층 (선학동, 서천빌딩)",032-123-1234
당구,빌리당구클럽,"인천광역시 연수구 앵고개로254번길 19-6, 5층호 (동춘동, 서진빌딩)",032-121-1212
당구,브레통 당구클럽,"인천광역시 연수구 먼우금로 96, 2층 (동춘동, 일성빌딩)",032-212-2121
당구,연수역 당구클럽,인천광역시 연수구 함박뫼로50번길 105 (연수동),032-313-3131
당구,샤롯데 당구클럽,"인천광역시 연수구 인천타워대로132번길 30, 휴먼빌파크 403,404,405호 (송도동)",032-832-7314
당구,연수대대클럽,"인천광역시 연수구 청명로 16, 201호 (청학동)",032-101-0000
당구,PLATIN CAROM CLUB(플라틴 캐롬 클럽),"인천광역시 연수구 비류대로 212, 3층 (옥련동)",032-101-0001
당구,인송당구장,"인천광역시 연수구 한진로 58, 3층 (옥련동)",032-101-0002
당구,길당구장,"인천광역시 연수구 함박로92번길 3, 2층 (연수동)",032-101-0003
당구,왕당구클럽,"인천광역시 연수구 앵고개로87번길 12-8, 3층 (동춘동)",032-101-0004
당구,메트로당구장,"인천광역시 연수구 인천타워대로54번길 3, 메트로프라자 지하1층 B101,B103호 (송도동)",032-101-0005
당구,연수가브리엘클럽,"인천광역시 연수구 용담로118번길 3, 8층 (연수동)",032-101-0006
당구,펍큐 당구클럽 송도직영점,"인천광역시 연수구 컨벤시아대로 81, 드림시티 B24호 일부, B06-1호 (송도동)",032-101-0007
당구,하이런 당구클럽,"인천광역시 연수구 비류대로433번길 26, 랜드마크빌딩 4층 (연수동)",032-101-0008
당구,킹 빌리어드 브레통,"인천광역시 연수구 벚꽃로 106, 연수광장프라자 503호 (청학동)",032-817-7979
빙상,선학국제빙상경기장,인천광역시 연수구 경원대로 526 (선학동),032-821-5723
헬스,쉐라톤 휘트니스,"인천광역시 연수구 컨벤시아대로 153 (송도동,쉐라톤 호텔 6층)",032-835-1000
헬스,인천대학교 스포츠센터,"인천광역시 연수구 아카데미로 119 (송도동, 인천대학교)",032-835-4121
헬스,오라카이 휘트니스,"인천광역시 연수구 테크노파크로 151, 3,4층 (송도동, 오라카이송도파크호텔)",032-210-7200
야구,선학구장,"인천광역시 연수구 경원대로 526, 2014아시아경기대회 선학경기장 (선학동)",02-547-5955
수영,계산수영장,인천광역시 계양구 경명대로972번길 18 (계산동),032-545-3700
수영,진명스포아트,"인천광역시 계양구 계양대로 37, 지2층 (작전동, 진명스포아트)",032-554-9500
수영,블루엔키즈,"인천광역시 계양구 용종로 23, 은행마을태산아파트 상가동 지층 B01,B19호 (계산동)",032-710-1213
태권도,미동인천대태권도체육관,인천광역시 계양구 주부토로 368 (작전동),032-546-7076
태권도,용인대석사계산체육도장,인천광역시 계양구 계양대로163번길 14-1 (계산동),032-541-4990
태권도,비호체육관,인천광역시 계양구 안남로573번길 21 (효성동),032-546-3811
태권도,고려체육도장,인천광역시 계양구 안남로 491 (효성동),032-547-7205
태권도,한국태권도아카데미,인천광역시 계양구 까치말로 20 (작전동),032-542-9909
태권도,최성 태권도,"인천광역시 계양구 효서로 380, 신현대타운 301,302,309호 (작전동)",032-524-4242
태권도,영웅백호 태권도장,"인천광역시 계양구 장제로767번길 33, 3층 (계산동)",032-541-4346
태권도,해맑은 황극태권도,인천광역시 계양구 봉오대로691번길 17 (작전동),032-549-5931
태권도,용인유도태권도장,인천광역시 계양구 계산새로 107 (용종동),032-543-9938
태권도,혜성체육관,"인천광역시 계양구 장제로1009번길 4-1, 2층 (박촌동)",032-516-7501
태권도,호산태권도체육관,인천광역시 계양구 장제로 925 (병방동),032-546-0586
태권도,작전창덕 태권도장,"인천광역시 계양구 아나지로299번길 22, 3층 (작전동)",032-549-3322
